Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company Industry (CB)
Cloud C,Partner,Steve,Won,6/16/2020,Upsell,10000,United States,Internet
Cloud C,Partner,Steve,Won,9/8/2020,Upsell,10000,United States,Internet
On-Premise,Partner,Alex,Lost,10/2/2020,Renewal,10000,United States,Internet
On-Premise,Partner,Alex,Won,9/27/2019,Upsell,10000,United States,Internet
,,Susans,Lost,11/15/2017,Upsell,10000,United States,Internet
,Partner,Joe,Proposal,5/26/2022,Upsell,10000,Canada,Internet
,Partner,Steve,Won,12/7/2021,Upsell,10000,United States,Internet
,Partner,Steve,Won,12/31/2021,Upsell,10000,United States,Internet
,Partner,Steve,Won,10/25/2021,Upsell,10000,United States,Internet
,Partner,Dave,Won,10/2/2020,Upsell,10000,United States,Internet
,,Susans,Won,2/21/2019,New,10000,Turkey,Internet
,,Sammy,Won,9/29/2016,Upsell,10000,China,Internet
,,Dave,Proposal,6/29/2022,Renewal,20000,Turkey,Internet
,Web,Joe,Qualification,10/19/2022,Upsell,20000,Canada,Internet
Cloud C,,Paul,Lost,8/28/2020,New,20000,United States,Internet
Cloud C,,Joe,Proposal,12/20/2022,Renewal,20000,Canada,Internet
Cloud C,Partner,Susans,Lost,12/31/2020,New,20000,United Kingdom,Internet
Cloud C,Partner,Tom,Lost,5/13/2019,New,20000,Canada,Internet
Cloud C,Partner,Tom,Requalify,8/28/2020,New,20000,United States,Internet
,,Dave,Proposal,3/31/2022,Renewal,20000,Turkey,Internet
Cloud C,,Paul,Lost,12/27/2019,New,20000,Canada,Internet
Cloud C,Partner,Steve,Proposal,12/17/2021,New,20000,Canada,Internet
,,Susans,Lost,7/31/2015,Upsell,20000,United States,Internet
,,Dave,Proposal,7/13/2022,Renewal,20000,Turkey,Internet
,,Susans,Lost,12/31/2016,New,20000,Turkey,Internet
,,Susans,Lost,12/31/2016,New,20000,Turkey,Internet
Cloud C,Partner,Tom,Lost,5/15/2020,New,20000,France,Internet
On-Premise,,Paul,Won,1/11/2021,Renewal,20000,United States,Internet
On-Premise,,Mike,Lost,1/10/2022,Renewal,20000,United States,Internet
On-Premise,,Susans,Won,9/26/2018,Renewal,20000,United States,Internet
,,Susans,Won,9/29/2017,Renewal,20000,United States,Internet
Cloud A,,Nancy,Proposal,12/31/2022,Renewal,20000,United States,Internet
,Web,Nancy,Proposal,12/29/2022,Renewal,20000,United States,Internet
On-Premise,,Susans,Won,8/29/2017,Upsell,20000,United States,Internet
Cloud B,Web,Susans,Lost,9/27/2019,New,20000,United States,Internet
Cloud C,,Craig,Proposal,4/30/2022,Renewal,20000,United States,Internet
Cloud C,,Craig,Won,1/25/2022,Renewal,20000,United States,Internet
Cloud A,Web,Tom,Lost,10/14/2019,New,40000,United States,Internet
Cloud B,,Tom,Requalify,9/30/2020,New,40000,United States,Internet
Cloud B,,Paul,Lost,10/23/2020,Renewal,40000,United States,Internet
Cloud A,Web,Steve,Lost,4/24/2020,New,40000,United States,Internet
Cloud C,,Steve,Won,9/24/2020,Upsell,40000,Canada,Internet
,,Susans,Won,9/28/2018,Upsell,40000,United States,Internet
Cloud A,Web,Sammy,Lost,4/30/2019,New,40000,United Kingdom,Internet
,Partner,Sammy,Lost,5/31/2019,New,40000,United States,Internet
,,Susans,Won,9/30/2016,Upsell,40000,United States,Internet
On-Premise,Partner,Alex,Lost,10/2/2020,Upsell,40000,United States,Internet
On-Premise,Partner,Alex,Lost,10/2/2020,Renewal,40000,United States,Internet
,Web,Alex,Lost,10/2/2020,New,40000,Indonesia,Internet
On-Premise,Partner,Alex,Won,10/31/2019,New,40000,United States,Internet
,Web,Alex,Lost,11/30/2020,New,40000,Canada,Internet
,,Dave,Proposal,3/20/2022,Renewal,40000,Turkey,Internet
,,Sammy,Won,12/31/2016,Upsell,40000,China,Internet
,,Sammy,Lost,9/29/2017,Upsell,40000,Finland,Internet
,,Steve,Lost,12/18/2020,New,40000,United States,Internet
,,Susans,Lost,12/30/2016,Upsell,40000,United States,Internet
,,Susans,Lost,12/31/2015,Upsell,40000,United States,Internet
,,Susans,Lost,12/31/2016,New,40000,Turkey,Internet
,,Susans,Lost,12/31/2016,New,40000,Turkey,Internet
,,Susans,Lost,4/28/2017,New,40000,United States,Internet
,,Susans,Lost,9/30/2015,Upsell,40000,Germany,Internet
,,Susans,Lost,2/29/2016,Upsell,50000,United States,Internet
,,Susans,Lost,3/27/2015,Upsell,50000,United States,Internet
,,Susans,Lost,4/30/2017,Upsell,50000,United States,Internet
,Partner,Susans,Lost,1/31/2017,Upsell,50000,United States,Internet
,,Susans,Lost,9/30/2015,Upsell,50000,United States,Internet
,,Susans,Lost,5/31/2017,New,50000,United States,Internet
,,Susans,Lost,1/31/2017,Upsell,50000,United States,Internet
,Web,Tom,Won,10/11/2019,New,50000,United States,Internet
,Web,Tom,Won,12/7/2021,Renewal,50000,United States,Internet
Cloud B,Web,Tom,Lost,8/31/2020,New,50000,United States,Internet
On-Premise,Partner,Alex,Lost,10/2/2020,Renewal,50000,United States,Internet
On-Premise,Partner,Alex,Won,11/12/2019,New,50000,United States,Internet
Cloud B,Web,Greg,Proposal,5/25/2022,Renewal,50000,United Kingdom,Internet
Cloud B,Web,Tom,Won,4/20/2021,Renewal,50000,United Kingdom,Internet
Cloud B,,Susans,Won,9/28/2018,New,50000,United States,Internet
On-Premise,Web,Susans,Lost,12/7/2018,New,50000,United States,Internet
On-Premise,Partner,Alex,Won,10/7/2019,Renewal,50000,United States,Internet
On-Premise,Partner,Alex,Lost,10/2/2020,Renewal,50000,United States,Internet
,Partner,Sammy,Won,10/18/2018,New,50000,United States,Internet
On-Premise,Web,Steve,Lost,6/21/2019,New,50000,United States,Internet
,,Susans,Won,9/28/2018,Renewal,50000,United States,Internet
,Partner,Alex,Validation,6/30/2022,New,50000,Japan,Internet
Cloud A,Partner,Dave,Won,4/27/2021,Renewal,50000,United States,Internet
,Event,Paul,Meeting,6/30/2022,New,50000,Switzerland,Internet
Cloud A,Partner,Susans,Won,4/30/2020,New,50000,United States,Internet
Cloud C,Partner,Tom,Lost,6/30/2020,New,50000,United States,Internet
,Web,Tom,Requalify,12/3/2020,New,50000,United States,Internet
,,Tom,Lost,6/30/2020,New,50000,United States,Internet
,Web,Tom,Requalify,2/28/2022,New,50000,United States,Internet
Cloud B,,Tom,Lost,9/3/2020,New,50000,United Arab Emirates,Internet
,,Susans,Lost,11/15/2018,New,50000,United States,Internet
Cloud A,Web,Dave,Won,11/2/2021,Upsell,50000,United States,Internet
Cloud C,Web,Susans,Lost,12/31/2019,New,50000,United States,Internet
Cloud C,Partner,Steve,Won,7/31/2020,Upsell,50000,United States,Internet
On-Premise,Partner,Sammy,Won,1/8/2018,New,50000,United States,Internet
,,Susans,Won,9/29/2017,New,50000,United States,Internet
Cloud C,Partner,Dave,Lost,10/30/2020,New,50000,United States,Internet
Cloud A,Web,Sammy,Validation,4/28/2022,New,50000,United States,Internet
Cloud C,Partner,Tom,Lost,3/30/2022,New,50000,United States,Internet
,Partner,Sammy,Won,12/11/2018,Upsell,50000,Japan,Internet
On-Premise,Web,Tom,Won,3/16/2020,New,75000,Saudi Arabia,Internet
,Web,Joe,Qualification,5/30/2022,New,75000,United States,Internet
,Web,Joe,Qualification,5/30/2022,New,75000,Netherlands,Internet
Cloud C,,Paul,Lost,8/28/2020,New,75000,United States,Internet
,Web,Paul,Validation,12/23/2022,New,75000,Poland,Internet
Cloud B,Partner,Paul,Lost,3/27/2020,New,75000,United States,Internet
On-Premise,Web,Paul,Validation,4/29/2022,New,75000,South Africa,Internet
Cloud B,Web,Susans,Lost,3/29/2019,New,75000,United States,Internet
,,Susans,Lost,6/28/2019,New,75000,United States,Internet
On-Premise,,Susans,Lost,2/22/2019,New,75000,United States,Internet
,,Susans,Lost,10/16/2015,Upsell,75000,United States,Internet
,,Susans,Lost,9/25/2015,Upsell,75000,United Kingdom,Internet
On-Premise,,Tom,Lost,2/14/2020,New,75000,Saudi Arabia,Internet
,Web,Amy,Validation,10/28/2022,New,75000,United States,Internet
,,Dave,Lost,3/31/2022,New,75000,United States,Internet
,Partner,Dave,Requalify,7/1/2022,New,75000,United States,Internet
Cloud B,,Steve,Lost,10/25/2019,New,75000,United States,Internet
,Web,Susans,Lost,12/18/2017,New,80000,United States,Internet
Cloud A,,Susans,Lost,11/26/2019,New,80000,United States,Internet
Cloud B,,Susans,Lost,6/29/2020,New,80000,Spain,Internet
,,Susans,Lost,9/30/2017,Upsell,80000,United States,Internet
On-Premise,,Steve,Lost,11/27/2020,Renewal,80000,United States,Internet
Cloud B,SDR,Joe,Proposal,12/20/2022,Renewal,80000,Canada,Internet
,,Dave,Lost,3/27/2020,New,80000,Netherlands,Internet
On-Premise,,Dave,Lost,12/13/2019,New,80000,United States,Internet
Cloud A,Web,Susans,Lost,10/30/2019,New,80000,United States,Internet
On-Premise,,Susans,Won,12/19/2018,New,80000,United States,Internet
On-Premise,Event,Dave,Lost,3/30/2021,New,80000,Slovenia,Internet
Cloud A,Partner,Nancy,Meeting,5/31/2022,New,80000,United States,Internet
Cloud B,Partner,Steve,Lost,6/26/2020,New,80000,United States,Internet
Cloud C,Web,Alex,Won,3/26/2021,New,80000,Singapore,Internet
,,Susans,Won,12/18/2017,New,80000,United States,Internet
Cloud A,Partner,Larry,Proposal,2/21/2022,New,90000,United States,Internet
Cloud B,,Larry,Proposal,12/31/2022,Renewal,90000,United States,Internet
Cloud C,Partner,Steve,Won,6/27/2019,New,90000,United States,Internet
Cloud B,Web,Tom,Won,12/28/2021,New,90000,United States,Internet
,Web,Tom,Requalify,4/6/2021,New,90000,Sweden,Internet
,,Susans,Won,3/31/2020,Upsell,90000,United States,Internet
Cloud C,Partner,Steve,Won,5/22/2020,Upsell,90000,United States,Internet
,Web,Susans,Lost,11/3/2019,New,90000,United States,Internet
,,Mary,Proposal,10/28/2022,Renewal,90000,United States,Internet
On-Premise,Partner,Alex,Qualification,5/26/2022,New,90000,United States,Internet
Cloud C,Web,Alex,Lost,6/30/2020,Upsell,90000,Indonesia,Internet
Cloud C,,Dave,Lost,9/15/2020,New,100000,United States,Internet
,Partner,Dave,Lost,2/26/2021,New,100000,United States,Internet
On-Premise,Web,Dave,Requalify,7/1/2022,New,100000,United States,Internet
,,Dave,Proposal,3/31/2022,Renewal,100000,Turkey,Internet
,Partner,Joe,Validation,7/20/2022,New,100000,Canada,Internet
,Web,Larry,Lost,5/11/2022,New,100000,United States,Internet
Cloud B,,Mary,Meeting,9/29/2022,New,100000,United States,Internet
Cloud C,Partner,Paul,Meeting,9/29/2022,New,100000,United States,Internet
,Web,Paul,Qualification,6/29/2022,New,100000,United States,Internet
Cloud B,,Sammy,Requalify,8/26/2020,Upsell,100000,United States,Internet
,,Steve,Lost,6/15/2017,New,100000,United States,Internet
On-Premise,,Steve,Lost,12/11/2020,New,100000,United States,Internet
On-Premise,,Steve,Lost,12/28/2018,Upsell,100000,United States,Internet
On-Premise,,Steve,Lost,3/20/2019,New,100000,United States,Internet
Cloud C,Partner,Steve,Lost,11/20/2020,New,100000,United Kingdom,Internet
,,Susans,Lost,8/31/2015,Upsell,100000,United States,Internet
,,Susans,Lost,6/30/2018,New,100000,United States,Internet
,Partner,Susans,Lost,9/30/2016,Upsell,100000,United Kingdom,Internet
,,Susans,Lost,4/29/2016,Upsell,100000,United States,Internet
,,Susans,Lost,10/1/2015,Upsell,100000,United States,Internet
,,Susans,Lost,4/18/2014,Upsell,100000,United States,Internet
,,Susans,Lost,12/31/2015,Upsell,100000,United States,Internet
Cloud B,Web,Susans,Lost,1/6/2019,New,100000,United States,Internet
,,Susans,Lost,6/15/2015,Upsell,100000,United States,Internet
,,Alex,Proposal,4/6/2022,Renewal,100000,United States,Internet
Cloud C,,Joe,Proposal,12/20/2022,Renewal,100000,Canada,Internet
Cloud A,,Steve,Lost,9/18/2020,New,100000,United States,Internet
,,Steve,Lost,2/25/2022,Upsell,100000,Canada,Internet
,,Susans,Won,3/31/2017,Upsell,100000,Japan,Internet
Cloud A,,Dave,Won,11/20/2020,New,100000,United States,Internet
Cloud A,Web,Dave,Won,11/2/2021,Renewal,100000,United States,Internet
,,Alex,Won,11/27/2020,Renewal,100000,United States,Internet
,,Alex,Proposal,9/27/2022,Renewal,100000,United States,Internet
,,Alex,Won,7/30/2021,Renewal,100000,United States,Internet
,,Susans,Won,9/27/2019,Renewal,100000,United States,Internet
,,Susans,Lost,6/30/2017,Upsell,100000,United States,Internet
On-Premise,Web,Paul,Proposal,3/18/2022,New,100000,United States,Internet
Cloud B,,Steve,Lost,10/30/2020,New,100000,Canada,Internet
,Web,Amy,Lost,7/29/2022,New,100000,United States,Internet
,Partner,Dave,Requalify,5/27/2022,New,100000,United States,Internet
Cloud A,Partner,Nancy,Proposal,4/30/2022,Renewal,100000,United States,Internet
On-Premise,Partner,Paul,Validation,6/30/2022,New,100000,United States,Internet
Cloud C,Partner,Sammy,Validation,5/31/2022,New,100000,United States,Internet
,,Susans,Lost,11/30/2018,Upsell,100000,United States,Internet
Cloud C,Partner,Dave,Lost,2/28/2020,New,100000,United States,Internet
Cloud B,Partner,Dave,Lost,3/31/2020,New,100000,United States,Internet
Cloud C,Web,Joe,Meeting,9/22/2022,New,100000,United States,Internet
On-Premise,,Paul,Validation,12/30/2022,New,100000,United States,Internet
,,Susans,Lost,10/16/2015,Upsell,100000,United States,Internet
On-Premise,Partner,Sammy,Won,3/16/2018,New,100000,United States,Internet
Cloud A,,Susans,Lost,3/6/2019,New,100000,United States,Internet
,,Susans,Lost,12/29/2017,Upsell,100000,United States,Internet
On-Premise,Partner,Sammy,Won,10/21/2018,Renewal,100000,United States,Internet
,Partner,Susans,Won,12/14/2017,Renewal,100000,Canada,Internet
On-Premise,Partner,Mary,Lost,5/31/2022,New,100000,United States,Internet
Cloud C,,Steve,Lost,3/25/2022,Upsell,150000,Canada,Internet
Cloud A,Web,Susans,Lost,2/20/2020,Renewal,150000,United States,Internet
Cloud C,Web,Alex,Won,9/27/2019,New,150000,Indonesia,Internet
,Web,Alex,Won,2/22/2022,Upsell,150000,Singapore,Internet
Cloud C,Web,Alex,Proposal,12/25/2022,Renewal,150000,Indonesia,Internet
,Partner,Alex,Qualification,6/30/2022,New,150000,United States,Internet
Cloud C,Web,Alex,Won,12/2/2021,Renewal,150000,Indonesia,Internet
Cloud C,Web,Alex,Won,12/4/2020,Renewal,150000,Indonesia,Internet
On-Premise,Partner,Dave,Lost,11/23/2020,New,150000,United States,Internet
,Partner,Sammy,Won,10/17/2016,New,150000,United States,Internet
Cloud B,Partner,Steve,Lost,5/23/2019,New,150000,United States,Internet
,,Susans,Lost,10/16/2015,Upsell,150000,United States,Internet
,,Susans,Lost,3/31/2016,Upsell,150000,United States,Internet
,,Susans,Lost,9/25/2015,Upsell,150000,United States,Internet
,,Susans,Lost,12/31/2016,Upsell,150000,United States,Internet
,,Susans,Lost,10/16/2015,Upsell,150000,United States,Internet
,,Susans,Lost,12/31/2015,Upsell,150000,United States,Internet
Cloud A,Web,Susans,Won,2/21/2019,New,150000,United States,Internet
Cloud A,,Paul,Proposal,11/23/2022,Renewal,150000,United States,Internet
Cloud B,Web,Tom,Requalify,6/11/2021,New,150000,United States,Internet
On-Premise,Partner,Susans,Lost,11/15/2018,Upsell,150000,United States,Internet
Cloud A,,Susans,Lost,11/15/2018,Upsell,150000,United States,Internet
,,Sammy,Lost,12/31/2018,New,150000,Turkey,Internet
,,Susans,Lost,10/29/2015,Upsell,150000,United States,Internet
Cloud B,Partner,Tom,Requalify,9/1/2020,New,150000,Canada,Internet
Cloud C,Partner,Greg,Proposal,9/30/2022,Renewal,150000,United States,Internet
,Partner,Craig,Meeting,4/30/2022,New,150000,United States,Internet
Cloud C,Partner,Steve,Won,10/31/2019,Upsell,150000,United States,Internet
Cloud C,Partner,Steve,Won,10/31/2019,Upsell,150000,United States,Internet
On-Premise,Partner,Craig,Validation,6/30/2022,New,200000,United States,Internet
Cloud C,Partner,Joe,Validation,3/31/2022,New,200000,United States,Internet
,,Sammy,Lost,5/30/2019,New,200000,South Africa,Internet
,Seller,Mike,Qualification,7/29/2022,New,200000,United States,Internet
,,Susans,Lost,9/22/2015,,200000,United States,Internet
,,Susans,Lost,12/30/2015,,200000,United States,Internet
Cloud B,SDR,Steve,Won,12/20/2019,New,200000,Canada,Internet
On-Premise,,Ben,Requalify,10/10/2021,Upsell,200000,United States,Internet
,Partner,Alex,Won,8/19/2021,Upsell,200000,Singapore,Internet
,Partner,Alex,Proposal,8/21/2022,Renewal,200000,Singapore,Internet
,Partner,Mary,Proposal,6/30/2022,New,200000,United States,Internet
Cloud C,,Mary,Proposal,10/30/2022,Renewal,200000,United States,Internet
Cloud C,Partner,Steve,Won,10/18/2021,Renewal,200000,United States,Internet
Cloud C,Partner,Steve,Won,10/12/2020,Renewal,200000,United States,Internet
,Partner,Susans,Lost,11/21/2018,Upsell,200000,United States,Internet
,Partner,Alex,Meeting,3/31/2022,,200000,Singapore,Internet
,Web,Alan,Meeting,3/31/2022,,200000,United States,Internet
,Web,Amy,Meeting,3/31/2022,New,200000,Germany,Internet
,Web,Amy,Meeting,3/31/2022,New,200000,Switzerland,Internet
,Partner,Ben,Meeting,5/31/2022,New,200000,United States,Internet
,Manual,Craig,Meeting,6/30/2022,New,200000,United States,Internet
,Partner,Joe,Meeting,3/31/2022,,200000,Canada,Internet
,Partner,Larry,Meeting,5/31/2022,New,200000,United States,Internet
,Partner,Nancy,Meeting,12/31/2022,New,200000,Canada,Internet
On-Premise,Web,Alex,Won,2/24/2022,POC,10000,India,Internet
,Web,Alex,Meeting,5/26/2022,New,80000,India,Internet
,,Dave,Lost,12/30/2016,New,1000,United States,Internet
Cloud C,Web,Sammy,Lost,6/30/2019,New,1000,Spain,Internet
,,Steve,Lost,6/26/2020,New,50000,United States,Internet
Cloud C,,Greg,Proposal,10/11/2022,Renewal,200000,United States,Internet
Cloud C,Partner,Steve,Won,10/8/2021,New,200000,United States,Internet
,Web,Charlie,Lost,11/24/2020,New,1000,United States,Internet
,,Paul,Lost,6/30/2017,New,1000,United States,Internet
On-Premise,,Paul,Lost,12/30/2016,New,1000,United States,Internet
,Web,Steve,Lost,9/30/2021,New,1000,Germany,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
Cloud C,,Steve,Lost,9/30/2020,New,40000,United Kingdom,Internet
Cloud A,Web,Alex,Lost,4/9/2021,New,1000,Malaysia,Internet
On-Premise,Partner,Dave,Lost,6/8/2021,New,1000,France,Internet
,Partner,Dave,Lost,8/25/2020,New,1000,United States,Internet
Cloud B,Event,Dave,Lost,10/29/2021,New,1000,Netherlands,Internet
,,Sammy,Lost,5/30/2019,New,1000,United States,Internet
,Web,Steve,Lost,3/1/2021,New,1000,United Kingdom,Internet
,Web,Steve,Lost,12/10/2021,New,1000,Canada,Internet
Cloud C,,Steve,Lost,1/18/2021,New,1000,United Kingdom,Internet
Cloud B,Web,Steve,Requalify,10/25/2021,Upsell,1000,United Kingdom,Internet
,,Steve,Lost,6/30/2015,Upsell,1000,Canada,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Internet
On-Premise,,Susans,Lost,9/14/2018,New,1000,Canada,Internet
,,Susans,Lost,8/17/2018,New,1000,United States,Internet
On-Premise,,Susans,Lost,9/15/2017,Upsell,1000,Canada,Internet
,,Susans,Lost,3/30/2018,New,1000,United States,Internet
,Web,Tom,Lost,10/9/2020,New,1000,United States,Internet
Cloud C,Event,Tom,Lost,2/18/2021,New,1000,United States,Internet
,,Tom,Lost,12/30/2016,New,1000,United States,Internet
Cloud C,Web,Tom,Lost,5/4/2021,New,1000,Brazil,Internet
Cloud A,Web,Tom,Lost,6/3/2021,New,1000,United States,Internet
On-Premise,,Sammy,Won,8/30/2018,Upsell,10000,Germany,Internet
Cloud A,Web,Steve,Lost,8/28/2020,New,40000,United States,Media
,,Susans,Lost,6/30/2016,Upsell,40000,United States,Media
,,Susans,Lost,2/1/2018,New,40000,Canada,Media
On-Premise,,Susans,Lost,12/31/2016,Upsell,50000,United States,Media
,,Susans,Lost,10/30/2015,Upsell,50000,United States,Media
On-Premise,Web,Dave,Lost,4/19/2021,New,50000,France,Media
Cloud B,Partner,Tom,Lost,6/30/2020,New,50000,South Africa,Media
,,Dave,Won,9/27/2021,Renewal,50000,Germany,Media
,,Dave,Won,6/22/2021,Renewal,50000,Germany,Media
On-Premise,Web,Charlie,Lost,8/31/2021,New,50000,United States,Media
,,Sammy,Won,3/31/2017,Upsell,50000,United States,Media
Cloud C,Partner,Alex,Proposal,3/31/2022,Renewal,75000,Australia,Media
Cloud C,Partner,Alex,Won,3/26/2021,Renewal,75000,Australia,Media
,,Sammy,Won,3/15/2019,Upsell,75000,Germany,Media
,Web,Craig,Qualification,4/30/2022,New,90000,United States,Media
Cloud B,Web,Larry,Lost,3/31/2022,New,100000,Netherlands,Media
,,Paul,Lost,10/1/2020,New,100000,United States,Media
,,Susans,Lost,9/30/2016,Upsell,100000,Cyprus,Media
,,Susans,Lost,12/28/2017,New,100000,Canada,Media
Cloud C,Partner,Alex,Won,3/31/2020,New,100000,Australia,Media
On-Premise,,Dave,Won,12/20/2021,Renewal,100000,Germany,Media
On-Premise,,Greg,Proposal,6/30/2022,Renewal,100000,Germany,Media
,,Sammy,Won,11/10/2017,New,100000,Germany,Media
Cloud C,Partner,Dave,Lost,9/25/2020,New,100000,United Kingdom,Media
Cloud C,Partner,Dave,Lost,1/30/2020,New,100000,United Kingdom,Media
,,Susans,Lost,12/31/2015,Upsell,150000,Canada,Media
Cloud C,Partner,Dave,Won,1/27/2021,New,150000,United States,Media
Cloud C,Partner,Mike,Proposal,1/29/2022,Renewal,150000,United States,Media
On-Premise,,Sammy,Won,6/19/2018,Upsell,200000,Germany,Media
,,Sammy,Won,1/31/2019,Renewal,200000,Germany,Media
,Web,Sammy,Meeting,4/28/2022,New,200000,United Kingdom,Media
,Web,Dave,Lost,4/1/2022,New,1000,Luxembourg,Mining
On-Premise,Web,Dave,Lost,4/1/2022,New,1000,Germany,Mining
,,Dave,Lost,7/16/2021,New,1000,United States,Mining
Cloud B,,Sammy,Lost,6/28/2018,New,1000,Brazil,Mining
,,Susans,Lost,7/27/2018,New,1000,United States,Mining
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Mining
Cloud C,Web,Tom,Requalify,12/31/2021,New,1000,United States,Mining
On-Premise,Web,Tom,Lost,3/22/2021,New,1000,United Arab Emirates,Mining
,Partner,Larry,Lost,4/14/2022,New,75000,United States,Mining
Cloud B,Partner,Dave,Lost,3/22/2021,New,80000,United States,Mining
Cloud B,Partner,Dave,Won,12/30/2021,New,90000,United States,Mining
,,Craig,Meeting,12/1/2022,New,90000,Chile,Mining
Cloud B,,Paul,Lost,5/11/2021,New,100000,Luxembourg,Mining
Cloud B,Partner,Larry,Proposal,12/29/2022,Renewal,100000,United States,Mining
Cloud A,,Dave,Lost,2/14/2020,New,100000,United States,Mining
Cloud C,Partner,Craig,Requalify,3/31/2022,New,150000,Canada,Mining
,Web,Craig,Lost,12/31/2021,New,1000,United States,Mining
Cloud C,Partner,Fred,Lost,11/11/2021,Partnership,1000,United States,Mining
Cloud B,,Fred,Lost,12/31/2020,Partnership,1000,Mexico,Mining
,Web,Greg,Lost,12/31/2021,New,1000,United States,Mining
Cloud C,Partner,Paul,Requalify,9/30/2022,New,1000,United States,Mining
Cloud B,Partner,Sammy,Lost,6/29/2018,New,1000,United States,Mining
Cloud C,Partner,Steve,Won,1/11/2021,Upsell,1000,United States,Mining
,Partner,Steve,Won,6/7/2021,Upsell,1000,United States,Mining
,Web,Steve,Lost,4/30/2021,New,1000,United States,Mining
Cloud C,Partner,Steve,Lost,12/10/2021,New,1000,United Kingdom,Mining
Cloud C,Partner,Steve,Won,11/6/2020,New,1000,United States,Mining
,,Susans,Lost,3/30/2018,Upsell,1000,United States,Mining
,Partner,Susans,Lost,3/30/2018,New,1000,United Kingdom,Mining
,,Susans,Lost,12/30/2016,Upsell,1000,India,Mining
,,Tom,Lost,6/30/2017,New,1000,United States,Mining
,,Tom,Lost,3/30/2018,New,1000,Switzerland,Mining
Cloud A,Web,Tom,Requalify,5/31/2021,New,1000,United States,Mining
,,Tom,Lost,6/30/2017,New,1000,Switzerland,Mining
,Partner,Steve,Won,9/17/2021,Upsell,2000,United States,Mining
,,Tom,Lost,11/30/2016,Upsell,20000,United States,Mining
On-Premise,,Susans,Lost,6/29/2017,New,20000,United States,Mining
,,Susans,Lost,8/30/2016,Upsell,40000,United States,Mining
Cloud C,Partner,Paul,Lost,6/30/2022,New,50000,United States,Mining
Cloud A,Partner,Paul,Lost,7/22/2021,New,50000,United States,Mining
Cloud C,Partner,Steve,Won,11/10/2021,Renewal,50000,United States,Mining
,Partner,Nancy,Meeting,11/30/2022,Upsell,75000,United States,Mining
Cloud A,,Steve,Lost,9/27/2019,New,80000,United States,Mining
Cloud C,,Nancy,Proposal,11/10/2022,Renewal,90000,United States,Mining
,,Susans,Lost,8/26/2016,Upsell,100000,United States,Mining
,,Paul,Lost,7/15/2018,New,100000,United States,Mining
On-Premise,,Susans,Won,10/12/2016,Upsell,100000,United States,Pharmaceuticals
,,Susans,Lost,12/15/2017,Renewal,100000,United States,Pharmaceuticals
Cloud A,,Steve,Lost,12/18/2020,New,100000,United States,Pharmaceuticals
,,Susans,Lost,12/15/2017,New,100000,United States,Pharmaceuticals
Cloud C,Partner,Steve,Lost,11/17/2020,New,150000,United Kingdom,Pharmaceuticals
Cloud A,,Paul,Lost,6/30/2021,New,150000,United States,Pharmaceuticals
,Web,Mike,Meeting,6/30/2022,New,150000,United States,Pharmaceuticals
,Partner,Alex,Won,9/24/2021,New,1000,Australia,Professional Services
,,Alex,Won,9/24/2021,Upsell,1000,Australia,Professional Services
,Partner,Ben,Lost,10/25/2021,New,1000,India,Professional Services
,Partner,Ben,Requalify,10/10/2021,New,1000,India,Professional Services
,Web,Charlie,Lost,3/1/2021,New,1000,United States,Professional Services
,Web,Dave,Lost,1/15/2021,New,1000,Germany,Professional Services
Cloud B,Partner,Dave,Lost,4/28/2021,New,1000,United States,Professional Services
,Web,Dave,Lost,3/5/2021,New,1000,France,Professional Services
On-Premise,Web,Dave,Lost,10/11/2021,New,1000,United States,Professional Services
Cloud B,Web,Dave,Lost,8/27/2021,New,1000,India,Professional Services
,Web,Dave,Lost,12/31/2021,New,1000,United States,Professional Services
,Web,Dave,Lost,6/9/2021,New,1000,France,Professional Services
Cloud B,,Greg,Requalify,3/19/2021,New,1000,United States,Professional Services
,Partner,Greg,Requalify,8/20/2021,New,1000,United States,Professional Services
,Web,Greg,Lost,8/2/2021,New,1000,United States,Professional Services
Cloud B,,Greg,Won,6/25/2021,Renewal,1000,United States,Professional Services
,Web,Mary,Lost,12/31/2021,New,1000,United States,Professional Services
,Partner,Nancy,Proposal,4/29/2022,Upsell,1000,Canada,Professional Services
,Web,Paul,Lost,9/26/2021,New,1000,Canada,Professional Services
,Web,Paul,Lost,1/4/2021,New,1000,United States,Professional Services
,Web,Paul,Requalify,6/30/2022,New,1000,United States,Professional Services
On-Premise,,Sammy,Lost,10/26/2018,New,1000,France,Professional Services
,,Sammy,Lost,6/30/2017,New,1000,"Korea, Republic of",Professional Services
Cloud B,Partner,Sammy,Lost,6/30/2018,New,1000,France,Professional Services
,,Sammy,Lost,12/31/2016,New,1000,United States,Professional Services
,,Sammy,Lost,5/31/2018,New,1000,Sweden,Professional Services
,,Sammy,Lost,12/31/2016,New,1000,Bermuda,Professional Services
,,Sammy,Lost,12/31/2016,New,1000,Canada,Professional Services
